id,fx,fy,fixed
F1,10,200,True
F2,20,200,True
F3,30,200,True
F4,40,200,True
F5,50,200,True
F6,60,200,True
F7,70,200,True
F8,80,200,True
F9,90,200,True
F10,100,200,True
F11,,,
F12,,,
F13,,,
F14,110,200,True
F15,120,200,True
F16,130,200,True
F17,140,200,True
F18,150,200,True
F19,160,200,True
F20,170,200,True
F21,180,200,True
F22,190,200,True
F23,200,200,True
F24,210,200,True
F25,220,200,True
F26,230,200,True
F27,240,200,True
F28,250,200,True
F29,260,200,True
F30,270,200,True
F31,280,200,True
F32,290,200,True
F33,300,200,True
F34,310,200,True
F35,320,200,True
F36,,,
F37,,,
F38,,,
F39,,,
F40,,,
F41,,,
F42,,,
F43,,,
F44,,,
F45,,,
F46,,,
F47,,,
F48,,,
F49,,,
F50,,,
F51,,,
F52,,,
F53,,,
F54,,,
F55,,,
F56,,,
F57,,,
F58,,,
F59,,,
F60,,,
F61,,,
F62,,,
F63,330,200,True
F64,340,200,True
F65,350,200,True
F66,360,200,True
F67,370,200,True
F68,380,200,True
F69,390,200,True
F70,400,200,True
F71,410,200,True
F72,420,200,True
F73,430,200,True
F74,440,200,True
F75,450,200,True
F76,460,200,True
F77,470,200,True
F78,480,200,True
F79,490,200,True
F80,500,200,True
F81,510,200,True
F82,520,200,True
F83,530,200,True
F84,540,200,True
F85,550,200,True
F86,560,200,True
F87,570,200,True
F88,580,200,True
F89,590,200,True
F90,600,200,True
F91,610,200,True
F92,620,200,True
F93,630,200,True
F94,640,200,True
F95,650,200,True
F96,660,200,True
F97,670,200,True
F98,680,200,True
F99,690,200,True
F100,700,200,True
F101,710,200,True
F102,720,200,True
F103,730,200,True
F104,740,200,True
F105,750,200,True
F106,760,200,True
F107,770,200,True
F108,780,200,True
F109,790,200,True
F110,800,200,True
F111,810,200,True
F112,820,200,True
F113,830,200,True
F114,840,200,True
F115,850,200,True
F116,860,200,True
F117,870,200,True
F118,880,200,True
F119,890,200,True
F120,900,200,True
F121,910,200,True
F122,920,200,True
F123,930,200,True
F124,940,200,True
F125,950,200,True
F126,960,200,True
F127,970,200,True
F128,980,200,True
F129,990,200,True
F130,1000,200,True
F131,1010,200,True
F132,1020,200,True
F133,1030,200,True
F134,1040,200,True
F135,1050,200,True
F136,1060,200,True
F137,1070,200,True
F138,1080,200,True
F139,1090,200,True
F140,1100,200,True
F141,1110,200,True
F142,1120,200,True
F143,1130,200,True
F144,1140,200,True
F145,1150,200,True
F146,1160,200,True
F147,1170,200,True
F148,1180,200,True
F149,1190,200,True
F150,1200,200,True
F151,1210,200,True
F152,1220,200,True
F153,1230,200,True
F154,1240,200,True
F155,1250,200,True
F156,1260,200,True
F157,1270,200,True
F158,1280,200,True
F159,1290,200,True
F160,1300,200,True
F161,1310,200,True
F162,1320,200,True
F163,1330,200,True
F164,1340,200,True
F165,1350,200,True
F166,1360,200,True
F167,1370,200,True
F168,1380,200,True
F169,1390,200,True
F170,1400,200,True
F171,1410,200,True
F172,1420,200,True
F173,1430,200,True
F174,1440,200,True
F175,1450,200,True
F176,1460,200,True
F177,1470,200,True
F178,1480,200,True
F179,1490,200,True
F180,1500,200,True
F181,1510,200,True
F182,1520,200,True
F183,1530,200,True
F184,1540,200,True
F185,1550,200,True
F186,1560,200,True
F187,1570,200,True
F188,1580,200,True
F189,1590,200,True
F190,1600,200,True
F191,1610,200,True
F192,1620,200,True
F193,1630,200,True
F194,1640,200,True
F195,1650,200,True
F196,1660,200,True
F197,1670,200,True
F198,1680,200,True
F199,1690,200,True
F200,1700,200,True
F201,1710,200,True
F202,1720,200,True
F203,1730,200,True
F204,1740,200,True
F205,1750,200,True
F206,1760,200,True
F207,1770,200,True
F208,1780,200,True
F209,1790,200,True
F210,1800,200,True
F211,1810,200,True
F212,1820,200,True
F213,1830,200,True
F214,1840,200,True
F215,1850,200,True
F216,1860,200,True
F217,1870,200,True
F218,1880,200,True
F219,1890,200,True
F220,1900,200,True
F221,1910,200,True
F222,1920,200,True
F223,1930,200,True
F224,1940,200,True
F225,1950,200,True
F226,1960,200,True
F227,1970,200,True
F228,1980,200,True
F229,1990,200,True
F230,2000,200,True
F231,2010,200,True
F232,2020,200,True
F233,2030,200,True
F234,2040,200,True
F235,2050,200,True
F236,2060,200,True
F237,2070,200,True
F238,2080,200,True
F239,2090,200,True
F240,2100,200,True
F241,,,
F242,,,
F243,2110,200,True
F244,2120,200,True
F245,2130,200,True
F246,2140,200,True
F247,2150,200,True
F248,2160,200,True
F249,2170,200,True
F250,2180,200,True
F251,2190,200,True
F252,2200,200,True
F253,2210,200,True
F254,2220,200,True
F255,2230,200,True
F256,2240,200,True
F257,2250,200,True
F258,2260,200,True
F259,2270,200,True
F260,2280,200,True
F261,2290,200,True
F262,2300,200,True
F263,2310,200,True
F264,2320,200,True
F265,2330,200,True
F266,2340,200,True
F267,2350,200,True
F268,,,
F269,,,
F270,,,
F271,,,
F272,,,
F273,,,
F274,,,
F275,,,
F276,,,
F277,,,
F278,,,
F279,,,
F280,,,
F281,,,
F282,,,
F283,,,
F284,,,
F285,,,
F286,,,
F287,,,
F288,,,
